AAAUYpYhFgblIZH,13.0386195,77.67991012
AAcJNFtiwtEjrrn,13.01229398,77.72626633
AaFJfRpDYwoSbZv,13.03790584,77.54345296
aAHiiTFhmEgaLBi,12.96250295,77.45968322
aAHIYPsMIHrpWuC,13.09442707,77.53133116
aAluQtPTMJDSlJ,13.06119977,77.52655049
aAluQtPTnMJDSlJ,13.06219321,77.52658776
AaPJOyaSxQriRaS,12.87858773,77.56235123
aAQsPwqgBWmyMNr,12.87049762,77.44706015
aAvzrrdaQOqVTup,13.02456447,77.46613449
aAWnFChORVNAJUZ,13.05105259,77.47531166
ABDrZMkLBAcbLpe,12.9151499,77.64138454
ABDrZMkLBcbLpe,12.91439093,77.64216414
AbdSZGZuXzvxHVk,12.87050016,77.58915606
aBeOWmcqARDfXyd,13.08221389,77.68622996
aBevRsTdoHZrtKF,12.95695934,77.4620648
abfwzdGgJTlDBaT,12.96699821,77.67020793
ABHTjTePdqmXxgd,12.93106922,77.67881773
abJfQphiSkPRyFK,13.09656092,77.48110792
AbjWHOMzFbKhNSa,13.02197423,77.63381426
ABmKCfZEzGjSFjO,12.96161508,77.65197702
abPUkveuBTZyvNQ,13.02766485,77.68831149
ABtxGoStzXcdHtq,12.87301961,77.71551494
AbvLQkvJXaHRnel,12.93182521,77.69005456
abVuaOdVTAKRSMi,13.09355964,77.64399917
acbgIEEIaXdDNcO,13.01992051,77.59165761
acbgIEEIaXdNcO,13.02077647,77.5915955
AcDJWaBrvcsKqQX,12.99862407,77.62335644
acdXuUgWJkddFWr,12.92643904,77.50493013
acEqPmKcErpdUbN,13.031087,77.55575807
acgXDXCoYJnielM,13.0722008,77.72848513
aChqDznDdnlCZHd,12.86398625,77.7166075
acketlKpXhcGiMc,13.02381356,77.72701595
acketlKpXhcGiMcw,13.02290091,77.72603845
aclOxtHlEgHrluM,13.04709397,77.65056423
ACmjEnrQwJXTXyu,13.08237929,77.72982328
acoZjNFpbtccezI,12.86413687,77.60361771
acoZjNFpbtccezIv,12.86494489,77.60457005
aCpNhKWxSUWlYqR,12.88676607,77.59032258
acSpSpWpEdfXIoo,12.92594641,77.46149125
aCXaNsdOkjqljxT,12.96085174,77.48930613
acxmwITjTdMqWEF,13.08923229,77.61368825
AcXZQdYMIluFDXX,12.94942738,77.55284313
adarSApyGfAYyEC,12.99111768,77.62748156
ADBFcLuAqvqKINJ,12.93711699,77.63010682
ADBFcLuAqvqKINJl,12.93763321,77.62943622
AdeHSYqXXVviarY,12.9667111,77.48872054
adeigPHPLLXpPqP,12.8908269,77.73497541
AdFUUPVNnALZjqd,12.90162748,77.49721287
adhBXsiMBOqSxpL,13.00039281,77.68093928
adhBXsiMBOqxpL,13.00137573,77.68069964
